row_id,#source,#lat_deg,#lon_deg,#report_date,#status_id,#water_source,#water_source_clean,#water_tech_clean,#water_tech,#facility_type,#adm2,#management,#pay,#status,#subjective_quality,#notes,#photo_lnk,water_tech_original,water_source_original,management_clean,management_original,water_source_category,water_tech_category,count,Population,Classification as urban/semi-urban/rural,Income classification,Water demand (lpcd)
185053,"Federal Ministry of Water Resources, Nigeria",6.60119,3.3940983,16-05-2015 00:00,Yes,Improved Protected dug well,Protected Shallow Well,Mechanized Pump,Motorised,Improved,Kosofe,Direct Government Operation,No,Functional (and in use),Acceptable quality,Kosofe senior sch.kosofe,https://akvoflow-55.s3.amazonaws.com/images/3822802c-c19e-4d16-a234-652be72ebe4d.jpg,motorised,improved protected dug well,Direct Government Operation,direct government operation,Well,Mechanized Pump,1,665421,Semi-urban,Middle-income,70-120
185368,"Federal Ministry of Water Resources, Nigeria",6.6749767,3.7122417,29-05-2015 00:00,Yes,Improved Protected dug well,Protected Spring,NA,Gravity,Improved,Epe,Institutional Management - School,No,Functional (and in use),Acceptable quality,"U P E Primary School,Shagamu road,Odo Ayandelu,Epe.",https://akvoflow-55.s3.amazonaws.com/images/fd1b9fa6-95fb-4086-9cc6-62163d3e5ac2.jpg,NA,gravity,School Management,institutional management - school,Spring,NA,1,181715,Rural,Low-income,50-70
185381,"Federal Ministry of Water Resources, Nigeria",6.4131533,4.0870833,08-06-2015 00:00,No,Improved Tube well or borehole,Borehole,Mechanized Pump,Motorised,Improved,Ibeju-Lekki,NA,No,Non-functional Technical breakdown,Acceptable quality,Osoroko,https://akvoflow-55.s3.amazonaws.com/images/2c5d98e3-4148-4efd-ab81-c36e3bfb3732.jpg,motorised,improved tube well or borehole,NA,NA,Well,Mechanized Pump,1,117542,Urban,High-income,120-150
185740,"Federal Ministry of Water Resources, Nigeria",6.5832267,3.98181,27-05-2015 00:00,Yes,Improved Tube well or borehole,Borehole,Mechanized Pump,Motorised,Improved,Epe,Other,No,Functional (and in use),Acceptable quality,Araromi market.,https://akvoflow-55.s3.amazonaws.com/images/620f163a-bda2-4952-9112-f4f9cef30a77.jpg,motorised,improved tube well or borehole,Other,other,Well,Mechanized Pump,1,181715,Rural,Low-income,50-70
185627,"Federal Ministry of Water Resources, Nigeria",6.630905,3.9864483,31-05-2015 00:00,Yes,Improved Tube well or borehole,Borehole,Mechanized Pump,Motorised,Improved,Epe,Community Management,No,Functional (and in use),Acceptable quality,Naforija.Eredo Road.,https://akvoflow-55.s3.amazonaws.com/images/0c9b20a7-4bb6-41b9-99ba-cd294f9cb267.jpg,motorised,improved tube well or borehole,Community Management,community management,Well,Mechanized Pump,1,181715,Rural,Low-income,50-70
185142,"Federal Ministry of Water Resources, Nigeria",6.6322376,3.2969029,26-05-2015 00:00,Yes,Improved Tube well or borehole,Borehole,Mechanized Pump,Motorised,Improved,Alimosho,Community Management,Yes Point of collection,Functional (and in use),Acceptable quality,Ogunjobi St,https://akvoflow-55.s3.amazonaws.com/images/e644071d-4003-46e2-b797-b73f86057b1e.jpg,motorised,improved tube well or borehole,Community Management,community management,Well,Mechanized Pump,1,11456783,Semi-urban,Middle-income,70-120
185124,"Federal Ministry of Water Resources, Nigeria",6.4111367,4.0939217,08-06-2015 00:00,No,Improved Tube well or borehole,Borehole,Mechanized Pump,Motorised,Improved,Ibeju-Lekki,NA,No,Non-functional Technical breakdown,Acceptable quality,Lekki township,https://akvoflow-55.s3.amazonaws.com/images/b86fe4da-f444-4227-99e8-889ce4e00e99.jpg,motorised,improved tube well or borehole,NA,NA,Well,Mechanized Pump,1,117542,Urban,High-income,120-150
185063,"Federal Ministry of Water Resources, Nigeria",6.6095433,3.3987883,09-05-2015 00:00,Yes,Improved Tube well or borehole,Borehole,Mechanized Pump,Motorised,Improved,Kosofe,Direct Government Operation,No,Functional (and in use),Acceptable quality,maidan health center,https://akvoflow-55.s3.amazonaws.com/images/bf4462eb-9ac3-4fe7-bfeb-450b20357b2c.jpg,motorised,improved tube well or borehole,Direct Government Operation,direct government operation,Well,Mechanized Pump,1,665421,Semi-urban,Middle-income,70-120
186296,"Federal Ministry of Water Resources, Nigeria",6.6794883,3.57692,31-05-2015 00:00,Yes,Improved Tube well or borehole,Borehole,Tapstand,Tap,Improved,Ikorodu,Community Management,No,Functional (and in use),Acceptable quality,"Yandi,Liadi",https://akvoflow-55.s3.amazonaws.com/images/9ac31e6b-2c08-4f42-b910-362cb938ac8e.jpg,tap,improved tube well or borehole,Community Management,community management,Well,Tapstand,1,535811,Rural,Low-income,50-70
185274,"Federal Ministry of Water Resources, Nigeria",6.623395,3.331325,15-05-2015 00:00,Yes,Improved Tube well or borehole,Borehole,Mechanized Pump,Motorised,Improved,Agege,Community Management,Yes Point of collection,Functional (but not in use) Technical breakdown,Acceptable quality,keke,https://akvoflow-55.s3.amazonaws.com/images/667ff426-db36-4c9c-800c-717b2492d9a6.jpg,motorised,improved tube well or borehole,Community Management,community management,Well,Mechanized Pump,1,461123,Semi-urban,Middle-income,70-120
