,,Classifications of local government areas (LGAs) in Lagos State showing corresponding water demand and waterworks locations,,,
S/N,Local government areas,Classification as urban/semi-urban/rural,Income classification,Water demand (lpcd),Locations of the waterworks in each LGA
1,Agege,Semi-urban,Middle-income,70-120,Agege
2,Ajeromi-Ifelodun,Semi-urban,Middle-income,70-120,Ajegunle
3,Alimosho,Semi-urban,Middle-income,70-120,"Idimu, Shasha, Meiran, Isheri-Oshun, Igando"
4,Amuwo Odofin,Semi-urban,Middle-income,70-120,Amuwo-odofin
5,Apapa,Semi-urban,Middle-income,70-120,"Ijora Badia, Apapa"
6,Badagry,Rural,Low-income,50-70,Badagry
7,Epe,Rural,Low-income,50-70,"Eredo, Epe, Epe Agric, Agbowa (Ota-Ikosi)"
8,Eti-Osa,Urban,High-income,120-150,"Dolphin, Ikoyi, Victoria Island, Lekki Peninsula, Victoria Island Annex, Badore"
9,Ibeju-Lekki,Urban,High-income,120-150,
10,Ifako-Ijaiye,Semi-urban,Middle-income,70-120,"New Ajegunle, Ojokoro"
11,Ikeja,Urban,High-income,120-150,
12,Ikorodu,Rural,Low-income,50-70,
13,Kosofe,Semi-urban,Middle-income,70-120,
14,Lagos Island,Urban,High-income,120-150,
15,Lagos Mainland,Semi-urban,Middle-income,70-120,
16,Mushin,Semi-urban,Middle-income,70-120,
17,Ojo,Semi-urban,Middle-income,70-120,
18,Oshodi Isolo,Semi-urban,Middle-income,70-120,
19,Somolu,Semi-urban,Middle-income,70-120,
20,Surulere,Semi-urban,Middle-income,70-120,
